article,total_qty,total_cost,n_requests,famille,daily_demand,forecast_qty,forecast_cost
Kit douchette WC avec accessoires MEDHUB,7.0,2520.0,7,PLOMBERIE,0.007306889352818371,0.6576200417536534,236.74321503131523
"Colliers de serrage 4,7X370mm 100PCS",63.0,2520.0,21,DIVERS,0.06576200417536535,5.918580375782881,236.74321503131523
"câble SYT1 2*0,8 rouge pour détection incendie",500.0,2500.0,3,INCENDIE,0.5219206680584552,46.972860125260965,234.86430062630484
Manomètre,5.0,2500.0,4,CLIMATISATION,0.005219206680584551,0.4697286012526096,234.8643006263048
Plaque alvéolaires en polycarbonate ep 10mm,1.0,2500.0,1,DIVERS,0.0010438413361169101,0.0939457202505219,234.86430062630475
Fourniture de doigt magnétique KONE.,1.0,2500.0,1,DIVERS,0.0010438413361169101,0.0939457202505219,234.86430062630475
Filtre hydraulique de retour HF 7906,3.0,2490.0,3,HYDRAULIQUE,0.003131524008350731,0.2818371607515658,233.92484342379962
"câble électrique U1000 RO2V 3 x2,5mm",150.0,2475.0,1,ELECTRICITE,0.15657620041753653,14.091858037578287,232.51565762004174
Boite de mousse de polyuréthanne,14.0,2440.0,5,DIVERS,0.014613778705636743,1.3152400835073068,229.22755741127347
Scotch aluminium,35.0,2415.0,12,CLIMATISATION,0.03653444676409186,3.288100208768267,226.87891440501042
Joint d'étanchité bas pour portes sectionnelle épaisseur : 70 mm,2.0,2404.0,1,MECANIQUE,0.0020876826722338203,0.1878914405010438,225.84551148225466
Cheville méttalique Ø20*80,200.0,2400.0,2,DIVERS,0.20876826722338204,18.789144050104383,225.4697286012526
Filtre déshydrateur PARKER PR 305S,2.0,2400.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,225.46972860125257
Détecteurs optique adressable CAP112A (avec socle),5.0,2395.0,2,INCENDIE,0.005219206680584551,0.4697286012526096,225.0
"câble électrique 3*2,5mm",200.0,2380.0,8,ELECTRICITE,0.20876826722338204,18.789144050104383,223.59081419624218
Barrette 100PCS 4mm²   ,34.0,2380.0,21,ELECTRICITE,0.03549060542797495,3.1941544885177455,223.59081419624218
"Robinet poussoir lavabo ""VASQUE""",26.0,2350.0,26,PLOMBERIE,0.027139874739039668,2.44258872651357,220.77244258872653
Coude 45 110 PVC HP,69.0,2346.0,16,PLOMBERIE,0.0720250521920668,6.482254697286012,220.3966597077244
Vachette de bois,32.0,2304.0,24,MENUISERIE,0.033402922755741124,3.006263048016701,216.45093945720248
Réglette étanch 1Xtube LED 127 Cm 1x25W classe M0,10.0,2300.0,8,ELECTRICITE,0.010438413361169102,0.9394572025052192,216.0751565762004
Flexible gasoil bague 3/8 *3/8 F/F (3m),2.0,2300.0,1,HYDRAULIQUE,0.0020876826722338203,0.1878914405010438,216.07515657620038
Teinte de peinture vinylique noir,191.0,2292.0,15,PEINTURE,0.19937369519832984,17.943632567849686,215.32359081419622
Télécommande universelle,38.0,2280.0,4,CLIMATISATION,0.03966597077244259,3.5699373695198333,214.19624217119
Poignée porte coupe-feu,3.0,2250.0,2,DIVERS,0.003131524008350731,0.2818371607515658,211.37787056367435
Porte papier rouleau INOX,7.0,2240.0,7,PLOMBERIE,0.007306889352818371,0.6576200417536534,210.4384133611691
Fourniture disjoncteur magnétothermique 32A,4.0,2240.0,1,ELECTRICITE,0.0041753653444676405,0.3757828810020876,210.43841336116907
Poignée de porte en bois,45.0,2205.0,31,MENUISERIE,0.04697286012526096,4.227557411273486,207.15031315240083
Ruban de masquage de PEINTURE,245.0,2205.0,58,DIVERS,0.255741127348643,23.01670146137787,207.15031315240083
Cadenas,220.0,2200.0,21,MENUISERIE,0.22964509394572025,20.66805845511482,206.6805845511482
Chemin de Cable perforé 3m,24.0,2160.0,2,ELECTRICITE,0.025052192066805846,2.2546972860125263,202.92275574112736
Panel LED 30X120 40W 6000K,85.0,2125.0,3,ELECTRICITE,0.08872651356993737,7.985386221294363,199.6346555323591
Bande Led,34.0,2108.0,2,ELECTRICITE,0.03549060542797495,3.1941544885177455,198.03757828810024
Carburant de machine de TRACAGE AU SOL,210.0,2100.0,4,DIVERS,0.21920668058455114,19.728601252609604,197.28601252609604
PARAF.24KV NORMAL 610MM YH10W-24KVE2,1.0,2100.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,197.286012526096
Siphon de lavabo MEDHUB,13.0,2080.0,9,PLOMBERIE,0.013569937369519834,1.221294363256785,195.4070981210856
Projecteur LED 240W MEDHUB,103.0,2060.0,5,ELECTRICITE,0.10751565762004175,9.676409185803758,193.52818371607515
Extracteur d'air sanitaire silencieux,103.0,2060.0,3,PLOMBERIE,0.10751565762004175,9.676409185803758,193.52818371607515
Douille GU10	,24.0,2040.0,4,ELECTRICITE,0.025052192066805846,2.2546972860125263,191.64926931106473
Cheville metallique Ø 10,1019.0,2038.0,17,DIVERS,1.0636743215031315,95.73068893528183,191.46137787056367
Contre bardage lot 120 (similaire à l'existant),6.0,2016.0,1,DIVERS,0.006263048016701462,0.5636743215031316,189.3945720250522
Ballaste électronique 40W,100.0,2000.0,1,ELECTRICITE,0.10438413361169102,9.394572025052192,187.89144050104383
Gaz R22 13 KG,2.0,2000.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,187.8914405010438
Fourniture de déflecteurs a brosses escalator Schindler.,1.0,2000.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,187.8914405010438
Fourniture de Plaque désignation cabine.,1.0,2000.0,1,DIVERS,0.0010438413361169101,0.0939457202505219,187.8914405010438
Multiprises rackable,8.0,1994.0,4,ELECTRICITE,0.008350730688935281,0.7515657620041752,187.32776617954067
Ressort gauche standard de porte sectionnelle,1.0,1993.0,1,MECANIQUE,0.0010438413361169101,0.0939457202505219,187.23382045929014
Détecteurs optique de fumée FDO500 (avec socle),6.0,1980.0,2,INCENDIE,0.006263048016701462,0.5636743215031316,186.0125260960334
Poignée porte coupe feu,195.0,1950.0,30,MENUISERIE,0.2035490605427975,18.319415448851775,183.19415448851774
lampe T8 60 cm LED,108.0,1944.0,22,ELECTRICITE,0.1127348643006263,10.146137787056368,182.63048016701464
"Lampe led stick E27  ""NICHES""",26.0,1924.0,2,ELECTRICITE,0.027139874739039668,2.44258872651357,180.7515657620042
Fourniture de tuyau PEHD Ø32MM,96.0,1920.0,1,PLOMBERIE,0.10020876826722339,9.018789144050105,180.3757828810021
Câble cuivre souple U1000  1G25mm2,40.0,1920.0,1,ELECTRICITE,0.04175365344467641,3.757828810020877,180.3757828810021
Barre antipanique Bricard,1.0,1900.0,1,MENUISERIE,0.0010438413361169101,0.0939457202505219,178.49686847599162
Vachette CLEDOR de porte rosace INOX CND,14.0,1890.0,12,MENUISERIE,0.014613778705636743,1.3152400835073068,177.55741127348642
Cadenas MEDHUB,185.0,1850.0,13,DIVERS,0.1931106471816284,17.379958246346558,173.79958246346558
Ruban LED 10W 6500K,150.0,1800.0,3,ELECTRICITE,0.15657620041753653,14.091858037578287,169.10229645093943
Verrou porte manuel MEDHUB,4.0,1800.0,3,MENUISERIE,0.0041753653444676405,0.3757828810020876,169.10229645093943
Huile moteur 15w40,46.0,1794.0,2,MECANIQUE,0.04801670146137787,4.3215031315240084,168.53862212943633
Prise de courant 2P+T blanc,179.0,1790.0,21,ELECTRICITE,0.18684759916492694,16.816283924843425,168.16283924843424
Detecteur chaleur thermovelocimetrique IQ8QUADTD interactif ESSER NF,4.0,1790.0,4,INCENDIE,0.0041753653444676405,0.3757828810020876,168.1628392484342
Kit de fixation réglable pour lavabo,119.0,1785.0,17,PLOMBERIE,0.12421711899791232,11.179540709812109,167.69311064718164
Thermistance de gaz,1.0,1776.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,166.8475991649269
Teinte de peinture laque bleu,146.0,1752.0,17,PEINTURE,0.1524008350730689,13.716075156576201,164.5929018789144
Armaflex ACE Tapis d'isolation autoadhésif,4.0,1740.0,2,CLIMATISATION,0.0041753653444676405,0.3757828810020876,163.46555323590812
Robinet équerre chromé 1/2,39.0,1716.0,25,PLOMBERIE,0.0407098121085595,3.663883089770355,161.21085594989563
"Cuivre avec arma Flex 3/4, 3/8  rouleau 20m",34.0,1700.0,2,CLIMATISATION,0.03549060542797495,3.1941544885177455,159.70772442588728
Driver LED 18W,141.0,1692.0,3,ELECTRICITE,0.14718162839248433,13.24634655532359,158.9561586638831
Culotte  75 PVC HP,30.0,1680.0,6,PLOMBERIE,0.031315240083507306,2.8183716075156577,157.82881002087683
Panel led 24 W carrée,15.0,1680.0,6,ELECTRICITE,0.015657620041753653,1.4091858037578289,157.82881002087683
Joint d'étanchité bas pour portes sectionnelle épaisseur : 40 mm,2.0,1676.0,1,MECANIQUE,0.0020876826722338203,0.1878914405010438,157.4530271398747
hublot ronde étanche,57.0,1653.0,33,ELECTRICITE,0.059498956158663886,5.35490605427975,155.29227557411275
Ciment blanc,28.0,1624.0,7,CONSTRUCTION,0.029227557411273485,2.6304801670146136,152.56784968684758
Robinet équerre chromé  3/8,36.0,1584.0,16,PLOMBERIE,0.037578288100208766,3.3820459290187888,148.8100208768267
Culotte 110 PVC HP,18.0,1566.0,5,PLOMBERIE,0.018789144050104383,1.6910229645093944,147.1189979123173
T  75 PVC HP,24.0,1560.0,3,PLOMBERIE,0.025052192066805846,2.2546972860125263,146.5553235908142
Robinet équaire 1/2*3/4,22.0,1540.0,10,PLOMBERIE,0.022964509394572025,2.066805845511482,144.67640918580375
Paumelle vitre INOX,77.0,1540.0,6,MENUISERIE,0.08037578288100208,7.233820459290188,144.67640918580375
"Boite jonction à résine 16,25,35 mm2",9.0,1530.0,7,ELECTRICITE,0.009394572025052192,0.8455114822546972,143.73695198329852
Lampe projecteur 70W,19.0,1520.0,1,ELECTRICITE,0.019832985386221295,1.7849686847599167,142.79749478079333
Coude 90 40 PEHD HP,152.0,1520.0,5,PLOMBERIE,0.15866388308977036,14.279749478079333,142.79749478079333
Silicone blanc. w,67.0,1507.5,40,DIVERS,0.06993736951983298,6.294363256784968,141.62317327766178
Split 24000 complet,3.0,1500.0,2,CLIMATISATION,0.003131524008350731,0.2818371607515658,140.91858037578288
Connecteur,6.0,1500.0,1,ELECTRICITE,0.006263048016701462,0.5636743215031316,140.91858037578288
Roulette petite axe de porte sectionnelle ,23.0,1495.0,7,ELECTROMECANIQUE,0.024008350730688934,2.1607515657620042,140.44885177453028
Module BR100 « AVS électronic »,1.0,1482.0,1,INCENDIE,0.0010438413361169101,0.0939457202505219,139.22755741127347
Manomètre à glycérine 0 - 16 bar Boîtier en acier 1/4,12.0,1476.0,8,HYDRAULIQUE,0.012526096033402923,1.1273486430062631,138.66388308977037
prise de courant électrique encastré,41.0,1476.0,21,ELECTRICITE,0.04279749478079332,3.8517745302713986,138.66388308977034
Filtre à gasoil réf FF5485 (Cummins 110KVA).,1.0,1450.0,1,HYDRAULIQUE,0.0010438413361169101,0.0939457202505219,136.22129436325676
Détecteur optiques CAP112,3.0,1440.0,1,INCENDIE,0.003131524008350731,0.2818371607515658,135.28183716075156
Capteur de pression de circuit hydraulique de PAC,1.0,1427.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,134.06054279749475
disjoncteur magnétothermique 4P+N 16A,5.0,1415.0,2,ELECTRICITE,0.005219206680584551,0.4697286012526096,132.93319415448852
Huile 5W40,200.0,1400.0,1,HYDRAULIQUE,0.20876826722338204,18.789144050104383,131.5240083507307
Spot &tanche ronde 10W LED IP54,28.0,1400.0,9,ELECTRICITE,0.029227557411273485,2.6304801670146136,131.52400835073067
"Fléxible 3/4 ""simple-simple"" 1,5M Ø215 BAR",2.0,1400.0,2,ELECTROMECANIQUE,0.0020876826722338203,0.1878914405010438,131.52400835073067
"Panneau ""Rond point""",2.0,1400.0,2,PANNEAUX DE SIGNALISATION,0.0020876826722338203,0.1878914405010438,131.52400835073067
Mécanisme chasse d'eau pour WC standard et suspendu	,2.0,1400.0,2,PLOMBERIE,0.0020876826722338203,0.1878914405010438,131.52400835073067
"Robinet équerre ,diamètre de  1/2   pouce en laiton. w",48.0,1380.0,36,PLOMBERIE,0.05010438413361169,4.509394572025053,129.64509394572025
Mécanisme de fermeture SEVAX MINOS +,69.0,1380.0,3,MENUISERIE,0.0720250521920668,6.482254697286012,129.64509394572025
Coude 90 125 PVC HP,40.0,1360.0,3,PLOMBERIE,0.04175365344467641,3.757828810020877,127.76617954070981
Filtre déshydrateur CASTEL DF 308/4,1.0,1350.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,126.82672233820458
Détecteurs optiques CAP320,4.0,1344.0,1,INCENDIE,0.0041753653444676405,0.3757828810020876,126.26304801670145
Tube 75 PEHDHP,131.0,1310.0,5,PLOMBERIE,0.13674321503131523,12.30688935281837,123.06889352818371
Soupape de sécurité de Circuite hydraulique de PAC,5.0,1305.0,4,CLIMATISATION,0.005219206680584551,0.4697286012526096,122.59916492693111
Carte électronique universel,26.0,1300.0,2,CLIMATISATION,0.027139874739039668,2.44258872651357,122.1294363256785
Carte électronique universel split system,1.0,1300.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,122.12943632567848
Détecteur de chaleur thermostatique interactif IQ8Quad TM (Marque Esser),2.0,1300.0,2,INCENDIE,0.0020876826722338203,0.1878914405010438,122.12943632567848
Prise de courant électrique étanche apparent,40.0,1280.0,30,ELECTRICITE,0.04175365344467641,3.757828810020877,120.25052192066806
Robinet OM,15.0,1275.0,13,PLOMBERIE,0.015657620041753653,1.4091858037578289,119.78079331941545
Boite étanche 240*180,255.0,1275.0,16,ELECTRICITE,0.2661795407098121,23.956158663883087,119.78079331941544
Pistolet de lavage a haute pression KPS 65,1.0,1250.0,1,PLOMBERIE,0.0010438413361169101,0.0939457202505219,117.43215031315238
Disjoncteur magnetothermique 50A,2.0,1240.0,1,ELECTRICITE,0.0020876826722338203,0.1878914405010438,116.49269311064717
lampe LED E27,123.0,1230.0,37,ELECTRICITE,0.12839248434237996,11.555323590814197,115.55323590814197
Serrure porte coupe feu,61.0,1220.0,4,MENUISERIE,0.06367432150313153,5.7306889352818375,114.61377870563675
Baguette d'argent pure,15.0,1215.0,3,MECANIQUE,0.015657620041753653,1.4091858037578289,114.14405010438414
"Cuivre avec arma Flex 3/8, 1/4  rouleau 20m",24.0,1200.0,4,CLIMATISATION,0.025052192066805846,2.2546972860125263,112.73486430062631
Armature LED 100W MEDHUB,60.0,1200.0,4,ELECTRICITE,0.06263048016701461,5.6367432150313155,112.73486430062631
T 40 PVC HP,25.0,1200.0,4,PLOMBERIE,0.026096033402922755,2.348643006263048,112.7348643006263
Hublot extérieur ovale - Verre - E27 -60W - IP44,8.0,1200.0,4,ELECTROMECANIQUE,0.008350730688935281,0.7515657620041752,112.73486430062628
Drapeau Maroc	,1.0,1200.0,1,DIVERS,0.0010438413361169101,0.0939457202505219,112.73486430062628
Contacteur 24 V,1.0,1200.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,112.73486430062628
Humidificateur BLCT2C00W0,1.0,1200.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,112.73486430062628
Ecrou Ø20,396.0,1188.0,3,DIVERS,0.4133611691022965,37.202505219206685,111.60751565762006
Câble en acier galvanisé de porte sectionnelle Ø4mm/ML ,165.0,1155.0,12,ELECTROMECANIQUE,0.1722338204592902,15.501043841336118,108.50730688935283
Prise de sol 220V,3.0,1140.0,1,ELECTRICITE,0.003131524008350731,0.2818371607515658,107.098121085595
Culotte 45 125 PVC HP,19.0,1140.0,5,PLOMBERIE,0.019832985386221295,1.7849686847599167,107.098121085595
Télécommande universelle MEDHUB,19.0,1140.0,9,CLIMATISATION,0.019832985386221295,1.7849686847599167,107.098121085595
Coude 90 110 PVC HP,33.0,1122.0,8,PLOMBERIE,0.03444676409185804,3.1002087682672235,105.4070981210856
Filtre d'air HF6710,3.0,1110.0,3,HYDRAULIQUE,0.003131524008350731,0.2818371607515658,104.27974947807934
Panel led carré 3 w,37.0,1110.0,18,ELECTRICITE,0.038622129436325675,3.475991649269311,104.27974947807932
Led panel 6 w carrée,29.0,1102.0,14,ELECTRICITE,0.030271398747390398,2.7244258872651357,103.52818371607516
Spot encastré carre au plafond 100X100 10W LED IP44,11.0,1100.0,5,ELECTRICITE,0.011482254697286013,1.033402922755741,103.34029227557411
Peinture de traçage vert 25KG,1.0,1100.0,1,PEINTURE,0.0010438413361169101,0.0939457202505219,103.3402922755741
Plâtre en poudre,1096.0,1096.0,58,CONSTRUCTION,1.1440501043841336,102.96450939457202,102.96450939457202
Coude 90 75 PVC HP,32.0,1088.0,5,PLOMBERIE,0.033402922755741124,3.006263048016701,102.21294363256783
Panel LED 120 CM 48W,3.0,1080.0,2,ELECTRICITE,0.003131524008350731,0.2818371607515658,101.46137787056368
Spot encastré circulaire au plafond 260 10W LED IP44,9.0,1080.0,3,ELECTRICITE,0.009394572025052192,0.8455114822546972,101.46137787056367
Vis auto Perceuse,180.0,1080.0,3,DIVERS,0.18789144050104384,16.910229645093946,101.46137787056367
Huile 15W40,200.0,1070.0,1,HYDRAULIQUE,0.20876826722338204,18.789144050104383,100.52192066805844
Fixation de lavabo,30.0,1050.0,11,PLOMBERIE,0.031315240083507306,2.8183716075156577,98.64300626304802
Interrupteur sectionneur 63A-4P,1.0,1050.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,98.643006263048
Flexible sanitaire Ø 12mm  Femelle 3/8,47.0,1034.0,26,PLOMBERIE,0.049060542797494784,4.4154488517745305,97.13987473903967
Driver LED 40W,85.0,1020.0,1,ELECTRICITE,0.08872651356993737,7.985386221294363,95.82463465553236
Paumelle INOX,102.0,1020.0,9,MENUISERIE,0.10647181628392484,9.582463465553236,95.82463465553235
Huile hydraulique 68,204.0,1020.0,12,HYDRAULIQUE,0.21294363256784968,19.16492693110647,95.82463465553235
Tube PVC Ø110,35.0,1015.0,2,PLOMBERIE,0.03653444676409186,3.288100208768267,95.35490605427975
Tige fileté Ø16,46.0,1012.0,7,DIVERS,0.04801670146137787,4.3215031315240084,95.07306889352819
Contacteur de démarrage du compresseur de PAC,1.0,1010.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,94.88517745302713
Siphon plastique Ø40,21.0,1008.0,17,PLOMBERIE,0.021920668058455117,1.9728601252609606,94.6972860125261
Scotche noir SPECIAL,21.0,1008.0,3,ELECTRICITE,0.021920668058455117,1.9728601252609606,94.6972860125261
Chlore 13 PH,50.0,1000.0,2,PLOMBERIE,0.05219206680584551,4.697286012526096,93.94572025052192
Huile hydraulique 46 M,200.0,1000.0,1,HYDRAULIQUE,0.20876826722338204,18.789144050104383,93.94572025052192
Coude 90 110 PEHD HP,100.0,1000.0,2,PLOMBERIE,0.10438413361169102,9.394572025052192,93.94572025052192
Huile hydraulique 32 M,200.0,1000.0,1,HYDRAULIQUE,0.20876826722338204,18.789144050104383,93.94572025052192
Prise de courant 2P+T blanc MEDHUB,100.0,1000.0,12,ELECTRICITE,0.10438413361169102,9.394572025052192,93.94572025052192
Split 12000 complet MEDHUB,2.0,1000.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,93.9457202505219
Détecteur thermo vélocimétrique adressable TFDA-TR1 (Marque Techno Fire),2.0,1000.0,1,INCENDIE,0.0020876826722338203,0.1878914405010438,93.9457202505219
Vachette de porte en aluminium 5 cm,11.0,979.0,10,MENUISERIE,0.011482254697286013,1.033402922755741,91.97286012526095
Réglette LED 2x18W Etanche MEDHUB,39.0,975.0,12,ELECTRICITE,0.0407098121085595,3.663883089770355,91.59707724425887
Câble nu 25mm² Cuivre,150.0,967.5,1,ELECTRICITE,0.15657620041753653,14.091858037578287,90.89248434237996
Robinet lavabo - MITIGEUR-,3.0,966.0,3,PLOMBERIE,0.003131524008350731,0.2818371607515658,90.75156576200418
Anti gel 50%,170.0,960.5000000000001,1,MECANIQUE,0.17745302713987474,15.970772442588727,90.23486430062631
Coude 45 125 PVC HP,28.0,952.0,3,PLOMBERIE,0.029227557411273485,2.6304801670146136,89.43632567849686
Film sablé rouleau 30m,95.0,950.0,8,DIVERS,0.09916492693110647,8.924843423799583,89.24843423799584
Serrure double cylindre,94.0,940.0,42,MENUISERIE,0.09812108559498957,8.830897703549061,88.30897703549061
Silicone spécial vitre,47.0,940.0,6,DIVERS,0.049060542797494784,4.4154488517745305,88.30897703549061
Fiche prise 2P+T 16A industrielle souple femelle marque famatel,21.0,924.0,7,ELECTRICITE,0.021920668058455117,1.9728601252609606,86.80584551148226
Compresseur 12000,46.0,920.0,2,CLIMATISATION,0.04801670146137787,4.3215031315240084,86.43006263048017
Collier de serrage 7x300mm,30.0,900.0,1,ELECTRICITE,0.031315240083507306,2.8183716075156577,84.55114822546973
Projecteur LED 240W,45.0,900.0,5,ELECTRICITE,0.04697286012526096,4.227557411273486,84.55114822546973
Serrure porte en aluminium TMSA,2.0,900.0,1,MENUISERIE,0.0020876826722338203,0.1878914405010438,84.55114822546972
Ballast 150W,2.0,900.0,2,ELECTRICITE,0.0020876826722338203,0.1878914405010438,84.55114822546972
Verrou porte manuel	TMSA,2.0,900.0,1,MENUISERIE,0.0020876826722338203,0.1878914405010438,84.55114822546972
Cylindre de serrure spécial 12CM,75.0,900.0,21,MENUISERIE,0.07828810020876827,7.045929018789144,84.55114822546972
"Drapeau MAROC G,T",3.0,891.0,2,SIGNALISATION,0.003131524008350731,0.2818371607515658,83.70563674321504
Raccord union male,87.0,870.0,11,PLOMBERIE,0.09081419624217119,8.173277661795407,81.73277661795407
Flexible  évacuation toilette,36.0,864.0,25,PLOMBERIE,0.037578288100208766,3.3820459290187888,81.16910229645093
Vis de cloture,57.0,855.0,2,DIVERS,0.059498956158663886,5.35490605427975,80.32359081419625
Interrupteur simple allumage encastré,30.0,840.0,22,ELECTRICITE,0.031315240083507306,2.8183716075156577,78.91440501043841
Raccord retube mal 16*1/2,16.0,832.0,6,PLOMBERIE,0.016701461377870562,1.5031315240083505,78.16283924843422
Raccord union femelle,82.0,820.0,12,PLOMBERIE,0.08559498956158663,7.703549060542797,77.03549060542797
Silicone spécial vitre MEDHUB,41.0,820.0,3,PLOMBERIE,0.04279749478079332,3.8517745302713986,77.03549060542797
Serrure manuel,24.0,816.0,15,MENUISERIE,0.025052192066805846,2.2546972860125263,76.6597077244259
Armature LED 100W,40.0,800.0,1,ELECTRICITE,0.04175365344467641,3.757828810020877,75.15657620041753
Projecteur LED 480W MEDHUB,40.0,800.0,3,ELECTRICITE,0.04175365344467641,3.757828810020877,75.15657620041753
ROBINET DE SERVICE MEDHUB,5.0,800.0,4,PLOMBERIE,0.005219206680584551,0.4697286012526096,75.15657620041753
Serrure d’angle avec barillet SEVAX,40.0,800.0,2,MENUISERIE,0.04175365344467641,3.757828810020877,75.15657620041753
colle gerflex,80.0,800.0,5,MENUISERIE,0.08350730688935282,7.515657620041754,75.15657620041753
Rouleau filtre G4,40.0,800.0,2,CLIMATISATION,0.04175365344467641,3.757828810020877,75.15657620041753
Interrupteur simple allumage blanc,80.0,800.0,3,ELECTRICITE,0.08350730688935282,7.515657620041754,75.15657620041753
Tambour standard de la porte sectionnelle côté gauche,1.0,800.0,1,ELECTROMECANIQUE,0.0010438413361169101,0.0939457202505219,75.15657620041752
Réglette LED 1x18W Etanche,32.0,800.0,5,ELECTRICITE,0.033402922755741124,3.006263048016701,75.15657620041752
Tambour standard de la porte sectionnelle côté droite,1.0,800.0,1,ELECTROMECANIQUE,0.0010438413361169101,0.0939457202505219,75.15657620041752
Transformateur 24V 220V 360W,2.0,780.0,2,ELECTRICITE,0.0020876826722338203,0.1878914405010438,73.27766179540708
Barrette de connexion 4mm2,11.0,770.0,4,ELECTRICITE,0.011482254697286013,1.033402922755741,72.33820459290187
Vachette porte verre,1.0,770.0,1,MENUISERIE,0.0010438413361169101,0.0939457202505219,72.33820459290186
Spot LED GU5 7W 6500K,253.0,759.0,5,ELECTRICITE,0.2640918580375783,23.768267223382047,71.30480167014613
Demi cylindre de serrure,58.0,754.0,34,MENUISERIE,0.060542797494780795,5.448851774530271,70.83507306889352
"Câble capotin 3G2,5	",10.0,750.0,10,ELECTRICITE,0.010438413361169102,0.9394572025052192,70.45929018789144
Lavabo,25.0,750.0,6,PLOMBERIE,0.026096033402922755,2.348643006263048,70.45929018789144
Robinet cuisine mitigeur (Mur) MEDHUB,1.0,750.0,1,PLOMBERIE,0.0010438413361169101,0.0939457202505219,70.45929018789143
"Flexible sanitaire Ø 12mm Femelle Femelle 1/2"""" 15x21",34.0,748.0,21,PLOMBERIE,0.03549060542797495,3.1941544885177455,70.2713987473904
"Flexible sanitaire Ø 12mm Femelle Mâle 1/2"""" 15x21",33.0,726.0,22,PLOMBERIE,0.03444676409185804,3.1002087682672235,68.20459290187891
Poignée de condamnation CND,3.0,720.0,3,MENUISERIE,0.003131524008350731,0.2818371607515658,67.64091858037578
Lavabo avec colonne,24.0,720.0,4,PLOMBERIE,0.025052192066805846,2.2546972860125263,67.64091858037578
Huile hydraulique 80W90,143.0,715.0,5,HYDRAULIQUE,0.14926931106471816,13.434237995824635,67.17118997912317
Connecteur pour detecteur inductif,3.0,702.0,3,ELECTROMECANIQUE,0.003131524008350731,0.2818371607515658,65.9498956158664
Flexible toilette 100 CM,70.0,700.0,14,PLOMBERIE,0.07306889352818371,6.576200417536534,65.76200417536535
"Panneau ""Vitesse -40-""",1.0,700.0,1,PANNEAUX DE SIGNALISATION,0.0010438413361169101,0.0939457202505219,65.76200417536533
Lampe P38 18W,4.0,700.0,2,ELECTRICITE,0.0041753653444676405,0.3757828810020876,65.76200417536533
"Panneau "" Interdiction de tourner à gauche """,1.0,700.0,1,PANNEAUX DE SIGNALISATION,0.0010438413361169101,0.0939457202505219,65.76200417536533
"Panneau ""Klaxon interdit""",1.0,700.0,1,PANNEAUX DE SIGNALISATION,0.0010438413361169101,0.0939457202505219,65.76200417536533
"Panneau ""Obligation ""flèche""",1.0,700.0,1,PANNEAUX DE SIGNALISATION,0.0010438413361169101,0.0939457202505219,65.76200417536533
Vanne metalique Ø50,6.0,690.0,2,PLOMBERIE,0.006263048016701462,0.5636743215031316,64.82254697286012
Détecteur de mouvement apparent,69.0,690.0,9,ELECTRICITE,0.0720250521920668,6.482254697286012,64.82254697286012
Projecteur LED 480W,34.0,680.0,3,ELECTRICITE,0.03549060542797495,3.1941544885177455,63.883089770354914
Filtre à air réf : AH1136 (Cummins 110KVA).,1.0,680.0,1,HYDRAULIQUE,0.0010438413361169101,0.0939457202505219,63.88308977035489
Abattant WC,15.0,675.0,15,PLOMBERIE,0.015657620041753653,1.4091858037578289,63.4133611691023
Cheville métallique Ø20x80 avec tige filetée à expansion,24.0,672.0,5,ELECTROMECANIQUE,0.025052192066805846,2.2546972860125263,63.13152400835074
Condensateur 10 µf,19.0,665.0,7,CLIMATISATION,0.019832985386221295,1.7849686847599167,62.473903966597085
Ecrou de boulon M6,220.0,660.0,4,DIVERS,0.22964509394572025,20.66805845511482,62.004175365344466
Rondelle Ø20mm,470.0,658.0,5,DIVERS,0.4906054279749478,44.15448851774531,61.816283924843425
Paire de cosses pour batteries,7.0,658.0,2,ELECTRICITE,0.007306889352818371,0.6576200417536534,61.81628392484342
Lampe T38,13.0,650.0,2,ELECTRICITE,0.013569937369519834,1.221294363256785,61.06471816283925
Té retube femelle Ø16*1/2,26.0,650.0,15,PLOMBERIE,0.027139874739039668,2.44258872651357,61.06471816283925
T 110 PVC HP ,8.0,640.0,1,PLOMBERIE,0.008350730688935281,0.7515657620041752,60.12526096033402
Teinte de peinture vinylique beige,53.0,636.0,16,PEINTURE,0.055323590814196244,4.979123173277662,59.74947807933194
Goulotte de câblage,220.0,605.0,29,ELECTRICITE,0.22964509394572025,20.66805845511482,56.837160751565754
